,name,description,careerPageName,type,state,workplaceType
82,ANALISTA ENGENHARIA DE  PROCESSOS ,"Nossa empresa tem se destacado pelo comprometimento com a inovação, integridade e excelência em sua atuação. Em um mercado competitivo, nossa empresa tem mantido uma trajetória sólida e sustentável, oferecendo produtos/serviços de qualidade e construindo relacionamentos duradouros com clientes e parceiros.Responsabilidades e atribuiçõesVocê atuará no time responsável pelo controle elétrico e eletrônico dos veículos durante a fase de industrialização. Entre as suas principais responsabilidades, estão:Garantir a evolução das arquiteturas elétricas durante a industrialização do veículo.Atuar diretamente na resolução de problemas relacionados a sistemas elétricos e eletrônicos dos veículos.Acompanhar e garantir o nível de maturidade das novas peças aplicadas na produção.Participar de fóruns técnicos para discutir pontos críticos e propor melhorias.Aplicar modificações de produto/processo para contribuir com os objetivos de qualidade, produtividade e ergonomia da fábrica.Diagnosticar falhas elétricas nos veículos e propor soluções definitivas.Treinar equipes técnicas sobre as novas arquiteturas elétricas dos projetos em andamento.Contribuir com análises de defeitos não reproduzíveis ligados a sistemas eletrônicos.Atuar em conjunto com os times de qualidade, engenharia e produção para garantir a performance dos novos produtos.Requisitos e qualificaçõesEnsino Superior Completo em EngenhariaSExperiência sólida em engenharia eletroeletrônica veicular.Conhecimento em ferramentas de diagnóstico automotivo, especialmente:DDT2000 ou DDT AnalyserDiagSpyMaleta de programação de sistemas (MPS)Capacidade de realizar diagnósticos em unidades de controle eletrônico e programar/calibrar os softwares embarcados.Experiência com configuração de equipamentos de testes via rede (ex: Wi-Fi).Conhecimento básico em ferramentas de análise de defeitos e integração de sistemas automotivos.Experiência com ferramentas de análise de processos industriais.Familiaridade com comunicação entre sistemas embarcados e equipamentos de testes.Conhecimento em gestão de dados técnicos de produto e critérios de qualidadeInglês ou francês avançado.Informações adicionaisBenefícios:Refeição no local ou Vale Refeição;Vale Mercado/Alimentação;Participação nos resultados;Auxílio home office, se necessário;Transporte fretadoAssistência MédicaGympass;Seguro de vida;Previdência Privada;Auxilio Creche;",Vagas Brasil Industriais,CLT,Paraná,on-site
83,Analista de Atendimento ao Cliente ,"Você quer trabalhar em uma empresa líder em assistência 24 horas e seguro viagem, parte do grupo Allianz SE, o maior grupo segurador do mundo e uma das principais empresas de serviços financeiros?E se você se identifica com um ambiente de constante aprendizado e desenvolvimento, aberto as diversidades, crescimento e excelência no atendimento, a Allianz Partners é o seu lugar!Responsabilidades e atribuiçõesRecepcionar ligações com objetivo de solucionar o problema exposto e/ou fornecer informação referente a dúvida que levou o cliente a entrar em contato com 0800;Fornecer serviços emergenciais como reboque, mecânico e táxi, por intermédio de sistema especifico Mabis que realizara o acionamento via GPS, Net ou encaminhar para acionamento manual;Analisar crítica de solicitações para liberação de serviços ao segurado que foram previamente contratados com base em condições gerais inseridas na ferramenta eletrônica Beedoo;Realizar ligações externas com intuito de verificação da previsão de chegada do prestador inicialmente acionado, visando o bem-estar do segurado e atingimento das metas internas;Realizar a roteirização de distancias entre trechos rodoviários visando fornecer o serviço emergencial dentro da cobertura contratada e em casos específicos definir o meio de transporte mais viável para viagem;Apresentar soluções ao segurado por intermédio da uma sequência lógica de atendimento em que o cliente é recepcionado, o problema identificado, a resposta fornecida e o fechamento da assistência, garantindo que todos os dados tenham sido coletados e inseridos em sistema corretamente;Localizar e identificar os cadastros dos veículos segurados por intermédio da ferramenta Mabis ou sistema especifico do cliente institucional, garantindo que a liberação do atendimento seja realizada corretamente de acordo com vigência da apólice.Requisitos e qualificaçõesTer no mínimo 18 anos;Para o sexo masculino possuir reservista;Ensino médio completo;Ter fácil acesso a região do Grande ABC;Habilidade com digitação (será avaliada e por favor utilizar o computador para a realização do teste);Disponibilidade para trabalhar aos finais de semana e feriados em regime de escala.(Nossa escala de trabalho são de 5 folgas mensais, sendo 1 obrigatória no domingo).Informações adicionaisOferecemosSalário: R$1.755,00 (Atenção: o valor do salário poderá sofrer alteração dependendo do produto X escala de trabalho)Vale-refeição ou alimentação (R$29,00 dia);Vale-transporte;Seguro de vida em grupo;Assistência médica;Assistência odontológica;PLR;Total Pass;Programa Conte Comigo;Plano incentivo (variável) de até R$200,00 mensais de acordo com desempenho.Carga horária 06h ou 07h por dia.Importante: O treinamento será em modelo home office, mas, o trabalho é presencial no escritório.Como somos uma empresa de Assistência 24 horas, atendemos diversos produtos, e de acordo com suas competências você será selecionado para a célula com maior aderência ao seu perfil.",Allianz Partners Brasil,CLT,São Paulo,on-site
86,ANALISTA ADMINISTRATIVO SR,"A hora de fazer parte de um time comprometido, acolhedor e que leva saúde para milhões de pessoas, é agora!Estamos na busca de profissionais para compor a nossa equipe!Se você é comprometido(a) e apaixonado(a) por novos desafios, aqui é o seu lugar!&nbsp;Faça seu cadastro e envie seu currículo!Responsabilidades e atribuiçõesGestão de Projetos;Análise de dados;Otimização de Processos;Gerenciar não conformidades;Cadastro via sistema ( capas, pleitos, parâmetros...).Requisitos e qualificaçõesObrigatório: Ensino superior completoDesejável: Pacote OfficeExcel avançadoBI ( dados)Capacidade analíticaInterpretação de GráficosDisponibilidade para ViagensInformações adicionaisCarga horária: 220h﻿Unidade: Rua Dona Leopoldina, 1150﻿O que oferecemos?Vale Alimentação;Vale Transporte;Assistência Médica;Assistência Odontológica;Convênio com Farmácia;Seguro de Vida;Auxílio Creche;Totalpass;Universidade Corporativa;Interclube (programa de descontos);Programa Conte Comigo.",Página de Carreira,CLT,Ceará,on-site
93,ANALISTA SISTEMAS SENIOR - FOCO RH – RM TOTVS ,"A&nbsp;SPDM - Associação Paulista para o Desenvolvimento da Medicina&nbsp;é uma Associação civil sem fins lucrativos, de natureza filantrópica, reconhecida de utilidade pública federal, estadual e no município de sua sede, respectivamente pelos decretos nos. 57.925, de 04/03/1966, 40.103 de 17/05/1962 e 8.911, de 30/07/1970.A Instituição atua nos âmbitos federal, estadual e municipal, em harmonia com suas políticas de saúde e de educação, e também como organização social habilitada em vários estados, na gerência de serviços e organizações de saúde, por meio de convênios e contratos de gestão.A diretriz primordial da Associação é sua inserção no sistema de saúde direcionada ao tratamento, prevenção de doenças e à promoção da saúde primária, secundária e terciária, estreitando laços com a comunidade local e reafirmando seu compromisso social de atender a todos, sem discriminação.Com o crescimento Institucional, a SPDM vem expandindo sua área de atuação com projetos, em desenvolvimento, na área da Assistência Social e na área Educacional. Toda essa gama de atividades consolida, cada vez mais, a SPDM como uma instituição filantrópica de grande porte, que busca a sustentabilidade econômica, social e ambiental.Suas quatro superintendências - Hospital São Paulo, Instituições Afiliadas,&nbsp;Programa de Atenção Integral à Saúde (PAIS)&nbsp;e Educação - são gerenciadas por profissionais de alta capacitação técnica e notável saber.Assim, a SPDM contribui de forma efetiva para a melhoria contínua dos serviços prestados pelo Sistema Único de Saúde do Brasil, visando principalmente garantir a universalidade e as oportunidades de acesso à saúde, necessárias ao desenvolvimento humano e social do cidadão. Para tanto, associa o melhor da tecnologia com atendimento médico de alta qualidade, respaldado por equipes multiprofissionais, formadas por enfermeiros, fisioterapeutas, farmacêuticos, nutricionistas, fonoaudiólogos, bioquímicos, psicólogos, tecnólogos, assistentes sociais e dentistas, entre outros.O Programa de Atenção Integral à Saúde&nbsp;iniciou suas atividades no ano de 2001 no município de São Paulo, se estendendo para outros municípios e estados. Desde o início de suas atividades, o&nbsp;PAIS&nbsp;busca, em parceria com a gestão pública, o crescimento e a consolidação dos serviços de saúde ofertados aos usuários do SUS.Responsabilidades e atribuiçõesAtuar com suporte aos sistemas Internos; efetuar atualização de versões de sistemas em ambientes de homologação e produção;Mapear processos nas áreas em relação aos sistemas internos com levantamento de requisitos e regras de negócios e criar modelagem de dados;Avaliar previamente os impactos das alterações em outros processos de negócio;Registrar, documentar, priorizar e monitorar junto aos fornecedores a resolução dos problemas bem como alinhamento dos projetos a serem desenvolvidos; acompanhar e buscar melhoria para os sistemas Institucionais;Gerir os relatórios via ferramentas de banco de dados com atuação em consultas e criação de divisões (view) com total autonomia;&nbsp;Aplicar novas tecnologias visando melhor aproveitamento dos recursos;Identificar e orientar os usuários na solução de problemas;Atender a todos os princípios e critérios de conduta contidos no Manual de Conformidade Administrativa - Políticas e Princípios de Integridade da SPDM;Executar as atribuições determinadas pela Instituição a respeito das práticas a serem tomadas em relação à proteção de dados pessoais-LGPD;Realizar as atividades das áreas/setores, seguindo as determinações do Gestor imediato e padronizações da Instituição.Requisitos e qualificaçõesEnsino Superior Completo na área;Pós-Graduação completa na área de atuação;Imprescindível: Conhecimento nos módulos de RH – RM TOTVS;Conhecimento em Quírons - Software para Saúde e Segurança do Trabalho;Desejável: Inglês Técnico, Banco de Dados Oracle e SQL Server.Informações adicionaisTrabalho 100% presencial;Profissionais de empresas parceiras, fornecedores e/ou prestadores de serviços, vínculo com grau de parentesco ou afinidade no mesmo serviço ou que atuam em outra modalidade contratual (vínculo com o prestador), deverão observar normativas de RH vigentes, através de consulta junto ao setor de Recrutamento e Seleção.",SPDM/PAIS,CLT,São Paulo,on-site
94,Analista de Planejamento e Gestão de Mudanças Pleno - Rio de Janeiro/RJ  ,"Você quer fazer parte da equipe Qualidados?Procuramos por profissionais com conhecimento e experiência na área, com perfil proativo, Capacidade de análise.Orientação para resultados, Trabalho em equipe, Organização, Liderança, Inovador, Gosta de desafios além de ter agilidade e assertividade nas entregas.Vagas&nbsp;também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesResponsável dar suporte à definição e ao desenvolvimento de padrões, metodologias e ferramentas de comunicação para passagem de serviços sem informações inconsistentes, incompletas, atrasadas ou sem estrutura;Dar suporte ao preparo do plano de comunicação, buscando a maior integração, otimização do processo, transparência das decisões;Dar suporte à elaboração da Matriz de Competências e identificar as necessidades para ministrar treinamentos;Mapear processos e elaborar de padrões de processo e instruções de trabalho;Levantar e divulgar as normas e padrões para desenvolvimento geral e específico;Sistematizar o levantamento e disseminação das lições aprendidas durante a execução e finalização das atividades;Desenvolver e atualizar os procedimentos de trabalho, com o objetivo de registrar as melhores práticas de gerenciamento e execução técnica dos projetos/serviços de Construção e Montagem;Dar suporte ao desenvolvimento do fórum de troca de conhecimento com outras áreas, inclusive externas a Petrobras quando necessário, desenvolver controles para gestão e acompanhamento dos processos e Dashboards utilizando a ferramenta Power BI;Dar suporte à criação e à apresentação de materiais para suporte as decisões gerenciais;Acompanhar os indicadores da Gerência;Elaborar comunicados internos;Criar e realizar manutenção do site da Gerência;Gerenciar mudanças;Responsável por acompanhar a evolução da conformidade dos contratos;Realizar a abertura e acompanhamento de tarefas no Planner, a interface e apoio aos steakholders do processo.Requisitos e qualificaçõesEnsino superior completo em Administração de Empresas, Curso Superior Tecnólogo em áreas correlatas à Administração de Empresas, Economia, Contábeis, Direito..Desejável: Pós-Graduação/MBA em Gestão Empresarial, Gestão de Projetos ou áreas correlatas.Desejável experiência nas ferramentas MS Project, BIZAGI, Power BI, SAP MM, SAP PS, SAP ARIBAPacote office intermediário;Excel avançado.Trabalho híbrido (3 dias em teletrabalho, 2 dias em escritório).Informações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,talent_pool,Bahia,hybrid
95,ANALISTA FINANCEIRO ,"Você quer fazer parte da equipe Qualidados?Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesAtuar na área financeira e de controladoria.Realizando atividades de pagamento.Movimentação de fundo fixoRegistros financeiros,&nbsp;prestação de contasEstudos relacionados área, seguindo diretrizes da empresa,&nbsp;aplicando&nbsp;procedimentos internos e a legislação específica,&nbsp;&nbsp;com o objetivo de contribuir para a gestão financeira empresa.Requisitos e qualificaçõesNível SuperiorPacote Office avançado (Excel, Word, Power Point)Especialização será um diferencialInformações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,talent_pool,Bahia,on-site
96,ANALISTA DE SISTEMAS ,"Você quer fazer parte da equipe Qualidados?Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesAtuar no desenvolvimento e/ou customização de sistemas informatizados, interagindo com as áreas clientes, atendendo às especificações técnicas, fazendo codificações, usando a linguagens de programação adequada e ferramentas apropriadas, desenvolvendo estruturas lógicas, testando, realizando a depuração, elaborando a documentação pertinente, utilizando procedimentos definidos e verificando a consistência da programação no sentido de garantir os requisitos de segurança e qualidade dos sistemas desenvolvidos pela empresa.Imprescindível conhecer e querer trilhar carreira em Gerenciamento de Projetos. Vivencia com ERP será diferencial. Experiencia anterior em desenvolvimento de software do início ao fim do projeto será diferencialRequisitos e qualificaçõesNível superior em Ciência da Computação, Analise de Sistemas e afinsConhecimento avançado (comprovado) C#, ASP.Net, VB.Net. Certificação será diferencial;Conhecimento avançado (comprovado) em modelagem de banco de dados Sql Server;Conhecimento inglês para leitura de materiais técnicos. Não há material em portuguêsInformações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.Jornada de Trabalho: Horário comercial.",Qualidados,talent_pool,Bahia,on-site
97,ANALISTA DE RH ,"Você quer fazer parte da equipe Qualidados?Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesAtuar em processos de Recursos Humanos,&nbsp;&nbsp;realizando atividades relacionadas aos Subsistemas: Provimento, Aplicação, Desenvolvimento e Monitoramento, operacionalizando políticas e práticas de RH, analisando informações em meio físico e eletrônico, realizando registros e controle, interagindo com as diversas áreas da empresa, utilizando sistemas informatizados e cumprindo dispositivos legais e em Convenção Coletiva ou Acordo Individual do Trabalho, procedimentos e definições de superiores, no sentido de contribuir para alcançar os objetivos relacionados à Gestão de Pessoas no âmbito da empresa.Recrutamento e Seleção de Pessoal;Admissão de pessoal;Treinamento e Desenvolvimento;Acompanhar os Programas de Menor Aprendiz, Pessoas com Deficiência e Estagiários;Realizar outras atividades específicas no âmbito da atuação do cargo e conforme a&nbsp;Capacitação necessária, seguindo orientações do superior imediatoRequisitos e qualificaçõesNível SuperiorPacote Office avançado (Excel, Word, Power Point)Especialização será um diferencialInformações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,talent_pool,Bahia,on-site
98,ANALISTA DE PLANEJAMENTO II ,"Você quer fazer parte da equipe Qualidados?Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuições&nbsp;Realizar Inventariado dos ativos existentes, incluindo levantamento dos ativos em campo, definição de árvore do ativo, fixação das etiquetas de objeto SAP, definição da criticidade e intercambialidades dos ativos e elaboração das listas técnica dos equipamentos mapeados.Criação das matrizes de bloqueio totais e parciais (LOTO) dos ativos mapeados em campo.Inventariado dos novos ativos para a Engenharia de Projetos CBMM, criação das FMEAs (Failure Mode and Effect Analysis) por equipamento, definição de seus Planos de Manutenção e de hibernação.Requisitos e qualificaçõesExperiência em Planejamento de Rotinas de Manutenção de Mineração;SAP;Pacote Office avançado (Excel, Word, Power Point).Informações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,talent_pool,Bahia,on-site
99,ANALISTA DE PLANEJAMENTO ,"Você quer fazer parte da equipe Qualidados?Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.ytResponsabilidades e atribuiçõesElaborar relatórios executivos;Apoiar na interface administrativa do contrato junto ao cliente;Acompanhar faturamento do contrato;Conduzir processos de seleção, mobilização e desmobilização.Requisitos e qualificaçõesEnsino superior Completo;Experiência em Rotinas Administrativas em Indústria;Conhecimento em Power BI;Pacote Office avançado (Excel, Word, Power Point).Informações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,talent_pool,Bahia,on-site
100,ANALISTA DE DEPARTAMENTO PESSOAL ,"Você quer fazer parte da equipe Qualidados?&nbsp;&nbsp;Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.&nbsp;﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesAtuar no processo de Administração de Pessoal, realizando atividades relacionadas a Controle, Movimentação e Pagamento de Pessoal e/ou Encargos Sociais e Trabalhistas, quando designado para tanto, analisando informações em meio físico e eletrônico, realizando registros e controle de pessoal, fazendo lançamentos, interagindo com as diversas áreas da empresa, utilizando sistemas informatizados e cumprindo dispositivos legais e em Convenção Coletiva ou Acordo Individual do Trabalho, procedimentos e definições de superiores, no sentido de garantir a conformidade e a qualidade dos processos.&nbsp;&nbsp;&nbsp;Atuar na implantação de políticas e práticas de Recursos Humanos, realizando o cadastro de informações relacionadas a jornada de trabalho, salário e remuneração, analisando documentos, legislação, Convenção Coletiva ou Acordo Individual do Trabalho, Analisar o registro de informações funcionais de colaboradores, consultando documentos, fazendo verificações.Fazer a parametrização de verbas destinadas ao processamento de pagamento de pessoal, seguindo a legislação e exigência do esocial, realizando consultas quando necessárias.Elaborar a Folha de Pagamento e rescisão de contrato de trabalho, verificando e utilizando dados e informações em meio eletrônico e físico, interagindo com as áreas envolvidas, seguindo a legislação, Convenção ou Acordo Coletivo do Trabalho.Realizar estudos e análises relacionadas à administração de pessoal, tais como: indicadores de processos, projeções de rescisões de contrato de trabalho, absenteísmo, perfil funcional, despesas com pessoal.&nbsp;Elaborar, quando designado para tanto, cálculos e fechamento de Encargos Sociais e Trabalhistas, seguindo dispositivos legais e procedimentos da empresa.&nbsp;Cuidar da documentação proveniente da elaboração de pagamento de pessoal, organizando-a, seguindo procedimentos da empresa, verificando a correção e exatidão, disponibilizando para a Fiscalização Administrativa de Contrato – FAC e providenciando o arquivamento adequado Representar a empresa, quando designado para tanto, junto a Sindicatos ou Ministério do Trabalho, para realizar homologação de Rescisão de Contrato de Trabalho.Realizar outras atividades específicas no âmbito da atuação do cargo e conforme a capacitação necessária, seguindo orientações do superior imediato com o objetivoRequisitos e qualificaçõesNível SuperiorPacote Office avançado (Excel, Word, Power Point)Especialização será um diferencialConhecimento avançado em E-socialConhecimento em sistema de folha de pagamentoConhecimento em legislaçãoVisão sistêmicaEncargos sociais e trabalhistasInformações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;",Qualidados,talent_pool,Bahia,on-site
101,ANALISTA ADMINISTRATIVO  ,"Você quer fazer parte da equipe Qualidados?&nbsp;&nbsp;Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.&nbsp;﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesADM: Atuar no apoio a atividades administrativas em áreas de administração e/ou compras realizando recebimento, análise e conferência de documentos, fazendo controles e registros de informações e indicadores, elaborando cálculos, emitindo faturamento e relatórios, providenciando aquisição de produtos e materiais, fazendo contratação de serviços,&nbsp;no sentido de dar suporte às funções de coordenação na gestão de processos e garantir a conformidade com requisitos de clientes, padrões de trabalho e normas certificadoras.RH: Realizar atividades de apoio administrativo, atuando nos processos de recursos humanos&nbsp;executando rotinas relativas à inclusão e exclusão de benefícios, verificando e organizando documentos, preparando documentos, levantando informações para a gestão de indicadores de acordo com orientações de superiores, no sentido de contribuir para a administração de benefícios oferecidos pela empresa.Requisitos e qualificaçõesNível SuperiorPacote Office avançado (Excel, Word, Power Point)Especialização será um diferencialInformações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,talent_pool,Bahia,on-site
110,Banco de Talentos - Analista de Requisitos de Software,"Seja bem-vindo a WISE!Somos uma empresa que desenvolve soluções em informática para organizações dos mais diversos portes e atividades. Operamos com dinamismo e inovação, oferecendo soluções específicas que otimizam processos, implementam ou reorganizam todo o sistema de informação das empresas. Oferecemos acesso rápido a informações essenciais para a tomada de decisões, gerando mais produtividade, agilizando processos e reduzindo custos para os nossos clientes. Nossa sede está localizada em Curitiba/PR, mas atuamos em todo o Brasil em nossos clientes e através do Home Office.Se Você é engajado, dinâmico, ágil, apaixonado por tecnologia, gosta de fazer a diferença no que faz, busca desenvolvimento profissional constante e uma empresa com bom clima de trabalho. O seu lugar é na WISE!Nossa empresa é voltada para as melhores práticas de desenvolvimento de software. Os projetos da WISE são diversificados e oferecem oportunidade para adquirir novos conhecimentos e atuar com várias tecnologias. Valorizamos novas ideias, criatividade, autonomia, companheirismo e bom humor. Seja Wise e venha fazer parte do nosso time!#vemprawise #sejawise #bewise #analistadesistemas #analistaderequisitos #vagaanalista #vagaResponsabilidades e atribuiçõesAtuar de forma consultiva, mapeando os processos de negócio dos clientes;&nbsp;Realizar o levantamento de requisitos;&nbsp;Realizar levantamento de estimativas;&nbsp;Elaborar especificações de negócio de customizações a serem incorporadas ao produto;&nbsp;Homologar o sistema com o cliente;&nbsp;Acompanhar os usuários na utilização da plataforma e realizar treinamentos;&nbsp;Participar de reuniões com o cliente&nbsp;Apresentar a ferramenta para novos clientes;&nbsp;Proceder com a implantação dos sistemas garantindo a qualidade do projeto.Requisitos e qualificaçõesO que você precisa ter para esta função:&nbsp;Conhecimentos de Banco de dados relacionais (SQL);Conhecimentos de UML;Conhecimento em modelagem de dados;Experiência com levantamento de requisitos;2 anos de experiência como analista;Comportamental: facilidade de trabalho em equipe, comunicação, iniciativa, dinamismo e responsabilidade.O que é um diferencial:&nbsp;Experiência anterior como desenvolvedor;Conhecimento de regras do negócio planos de saúde;Experiência em projetos ou produtos com integração de sistemas diferentes (web services);Experiência com metodologias ágeis;Conhecimento em contagem de pontos de função;Elaborar manuais do sistema.Conhecimento em ferramentas de desenvolvimento (Eclipse, Ireport, Squirrel);Conhecimento em linguagens de programação (Java, Javascript, Banco de dados, Xml);Informações adicionaisTrabalho Híbrido, com alguns dias de forma presencial em Curitiba/PRRemuneração: A combinarCarga horária de prestação de serviço: 8 horas diárias, aproximadamente 168 horas/mês, de segunda à sexta.Contratação PJ (Pessoa Jurídica)Oportunidades de auxílio a obtenção à CertificaçõesTreinamentosHorário flexívelNo Dress Code",Wise Group,talent_pool,Paraná,hybrid
112,Banco de Talentos - Analista de Operações SSMA ,"Avaliar as atividades se estão realizadas conforme padrão e projetos cadastrados no Autodoc de forma a garantir uma entrega com segurança, saúde e preservando meio ambiente. Suporte em casos de fiscalização internas e externas. Suporte para a equipe da fábrica no tocante de SSMA, ministrar treinamentos. Interface com área corporativa. Gestão de TST, indicadores, documental e promover campanhas de SSMA.&nbsp;Responsabilidades e atribuiçõesMinistrar treinamento para novos TSTs e equipe da engenharia&nbsp;com detalhamento das rotinas, Análises de Riscos, ITs, POs e Ondas de SSMA. Ministrar reunião/treinamento com terceiros abordando o tema de SSMA definido em cronograma, apresentar os dados de acidentes e atualização de procedimentos.Executar as campanhas de SSMA seguindo o cronograma anual (exemplo SIPAT, Novembro Azul, Outubro Rosa, Dia Nacional de Prevenção de Acidentes e outros).Montar composição da brigada de incêndio para as obras da fábrica, garantir o treinamento externo e manter os certificados arquivados em rede para apresentar caso de auditoria.Investigar todos os acidentes ocorridos nas obras (Emissão de CAT, cadastro no portal de SSO, verificação das medidas de controle, acompanhamento do acidentado até o retorno).Participar das reuniões de comunicação Regular N3 – GGO, quando necessário interação e suporte em itens de SSMA, exemplo acidente, avaliação de cenários crítico, documentação de segurança.&nbsp;Analisar com os GGOS os cartões de segurança das obras, definindo o prioritário para ser levado para o comitê regional.Realizar as reuniões regulares com o TST, avaliando plano de ação e andamento, afim de atingir a meta proposta para o projeto. Suporte técnico para obras com interface de MA corporativo.Suporte para GGOs nos itens apresentados para o GRO. Ajudar na explicação e detalhes técnicos do cartão de SSMA da sua respectiva fábrica.Avaliar a solicitação/notificação, pesquisar e entregar a documentação no prazo estabelecido.Entregar documentos de SSMA (PGR. PCMSO, PGRCC e CPO) e sinalizar os riscos mais crítico do respectivo canteiro e medidas de controleValidar projeto de logística da obra no tocante a SSMA: Dimensionamento de área vivência e Baia de resíduos, risco de trabalho sobreposto, caminho seguro, acesso de caminhões, isolamento periférico e outros perigos de acidentes.Ajustar os itens de segurança do grupo 16: Verificar materiais e suas respectivas quantidades a serem utilizadas no canteiro de obras.Manter atualizado o cadastro de profissionais do SESMT no site do M T E.Conduzir o processo eleitoral da CIPA, reuniões mensais, cadastro no cervello das estabilidades, treinamento, lançamento das atas e todo processo eleitoral no portal.Verificar cumprimento das premissas de segurança, conforme manual de operação dos equipamentos críticos (guindaste, grua, cremalheira, andaime suspenso, compressores e máquinas auto motorizadas).Atualizar e apresentar os indicadores do PEF da categoria de SSMA para o GGO na reunião de SSO da fábrica.Avaliar as obras em relação aos procedimentos de SSMA conforme relatório de auditoria disponível no autodoc. Lançar no portal os itens conformes e não conformes, com as fotos e anexar cópia do relatório assinada pelo auditor e gestores.Compilar os indicadores da fábrica e colocar as evidencias na rede SSO corporativo (Cartões de condição e comportamento de risco, atividades dos TST, ACA e ASA, ondas de procedimento de MA e SSO, planilha de advertências.Revisar projetos dos EPCs de suas respectivas fábricas, solicitar atualização ou novos projetos para o book.Revisar EPIs de suas respectivas fábricas, solicitar testes de novos produtos, levando em consederação qualidade e preço.Requisitos e qualificaçõesEnsino superior preferencialmente em ENGENHARIA CIVIL / ENGENHARIA DE PRODUÇÃO / ENGENHARIA MEIO AMBIENTE.Pacote officeExperiência em leitura de projetosConhecimento básico da legislação brasileira de segurança e saúdeDesejável - Atuação como Técnico de SegurançaInformações adicionaisDay off de aniversário;Vale refeição e vale transporte;Plano de saúde e odontológico (opcional);Convênio Farmácia;Seguro de vida;Wellhub - (Gympass);Previdência Privada;Bônus anual;Auxílio creche até os 2 anos do bebê para mulheres;Adicional de 1 mês de licença maternidade não remunerada (opcional);Licença paternidade estendida;Programa Viva Bem Tenda;Plataformas Educacionais;Emenda de feriados (desconto em banco de horas);Dress code flexível.",Construtora Tenda,talent_pool,Rio Grande do Sul,on-site
